epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,854.07,0.85113,0.46405,0.00598,0.78794,0.63636,0.7482,0.486,1.52038,1.39145,0.0147,0.0005447,0.0005447,0.0005447
149,859.727,0.82806,0.43887,0.00588,0.83444,0.62621,0.73622,0.48147,1.4736,1.33551,0.01434,0.0005348,0.0005348,0.0005348
150,865.392,0.80783,0.46081,0.00563,0.79397,0.66563,0.74026,0.48265,1.4765,1.33545,0.01436,0.0005249,0.0005249,0.0005249
151,871.086,0.8397,0.49854,0.00606,0.84271,0.60606,0.74552,0.48524,1.47369,1.36298,0.01414,0.000515,0.000515,0.000515
152,876.959,0.80649,0.4393,0.00605,0.86656,0.63333,0.75656,0.49253,1.45932,1.33262,0.01424,0.0005051,0.0005051,0.0005051
153,882.643,0.84878,0.43889,0.00616,0.86305,0.61108,0.75921,0.51081,1.41901,1.37686,0.01361,0.0004952,0.0004952,0.0004952
154,888.424,0.7883,0.43512,0.00558,0.85366,0.63638,0.759,0.50329,1.46831,1.38095,0.01416,0.0004853,0.0004853,0.0004853
155,894.117,0.79197,0.40611,0.00559,0.84271,0.63333,0.76239,0.49405,1.50699,1.30496,0.01454,0.0004754,0.0004754,0.0004754
156,899.903,0.77501,0.4103,0.00551,0.8026,0.68182,0.7727,0.50195,1.50193,1.27791,0.01444,0.0004655,0.0004655,0.0004655
157,905.574,0.84349,0.45595,0.00614,0.84583,0.65152,0.76677,0.50582,1.48067,1.31973,0.01401,0.0004556,0.0004556,0.0004556
158,911.293,0.79622,0.42226,0.00515,0.76396,0.67879,0.76093,0.50458,1.46779,1.39697,0.01393,0.0004457,0.0004457,0.0004457
159,916.966,0.82538,0.4122,0.00623,0.85063,0.64242,0.76945,0.50613,1.46785,1.31124,0.01377,0.0004358,0.0004358,0.0004358
160,922.775,0.80368,0.46782,0.00696,0.78794,0.66433,0.7633,0.49044,1.50571,1.41775,0.01459,0.0004259,0.0004259,0.0004259
161,928.44,0.82739,0.43552,0.00671,0.84683,0.61989,0.75287,0.48507,1.50729,1.42771,0.01444,0.000416,0.000416,0.000416
162,934.128,0.76839,0.41008,0.00535,0.783,0.66364,0.75432,0.49942,1.48,1.46565,0.01428,0.0004061,0.0004061,0.0004061
163,939.737,0.78977,0.41445,0.00548,0.75582,0.68473,0.76317,0.49902,1.48262,1.44536,0.01437,0.0003962,0.0003962,0.0003962
164,945.731,0.79024,0.41238,0.00547,0.79993,0.6785,0.77483,0.49798,1.48057,1.42696,0.01451,0.0003863,0.0003863,0.0003863
165,951.39,0.78128,0.39402,0.00553,0.82257,0.64545,0.77289,0.50132,1.47254,1.47076,0.01433,0.0003764,0.0003764,0.0003764
166,957.106,0.7956,0.41991,0.00542,0.82836,0.66061,0.77764,0.50629,1.45196,1.45208,0.01407,0.0003665,0.0003665,0.0003665
167,962.878,0.77953,0.4133,0.00545,0.82994,0.66551,0.76751,0.50095,1.43757,1.47688,0.01366,0.0003566,0.0003566,0.0003566
168,968.57,0.76689,0.40649,0.00511,0.84447,0.63939,0.76816,0.50352,1.44869,1.50015,0.01352,0.0003467,0.0003467,0.0003467
169,974.193,0.76524,0.42065,0.00525,0.8258,0.66667,0.77351,0.50806,1.44563,1.42752,0.01371,0.0003368,0.0003368,0.0003368
170,979.833,0.78464,0.41613,0.00519,0.83264,0.67273,0.77882,0.51309,1.43067,1.29248,0.01376,0.0003269,0.0003269,0.0003269
171,985.813,0.77344,0.41056,0.00505,0.83123,0.67161,0.77823,0.51458,1.43837,1.32352,0.01392,0.000317,0.000317,0.000317
172,991.585,0.73518,0.40183,0.00508,0.8187,0.67576,0.77691,0.51406,1.43694,1.33265,0.01379,0.0003071,0.0003071,0.0003071
173,997.31,0.7656,0.41609,0.00529,0.82276,0.67521,0.77226,0.50994,1.46942,1.376,0.01428,0.0002972,0.0002972,0.0002972
174,1002.99,0.73498,0.38997,0.00508,0.82605,0.67634,0.77574,0.51632,1.43636,1.34716,0.01405,0.0002873,0.0002873,0.0002873
175,1008.99,0.73179,0.38231,0.00501,0.86085,0.65612,0.77484,0.51086,1.43188,1.37343,0.01392,0.0002774,0.0002774,0.0002774
176,1014.73,0.7516,0.43921,0.00522,0.79623,0.68679,0.77466,0.5144,1.4293,1.37426,0.01384,0.0002675,0.0002675,0.0002675
177,1020.31,0.70842,0.37809,0.00503,0.76875,0.70517,0.7729,0.50264,1.46898,1.42826,0.01425,0.0002576,0.0002576,0.0002576
178,1026,0.72483,0.39675,0.00502,0.80233,0.67879,0.77738,0.50589,1.46087,1.44959,0.01405,0.0002477,0.0002477,0.0002477
179,1031.83,0.7295,0.38793,0.00484,0.83105,0.65455,0.77268,0.50002,1.44827,1.41512,0.0142,0.0002378,0.0002378,0.0002378
180,1037.58,0.75218,0.40872,0.00507,0.84783,0.63636,0.77485,0.50972,1.46233,1.45305,0.01422,0.0002279,0.0002279,0.0002279
181,1043.19,0.72093,0.38901,0.00492,0.76876,0.70303,0.77517,0.50444,1.46399,1.38122,0.01429,0.000218,0.000218,0.000218
